update_step,global_step,train_loss, val_loss,lr,tokens_seen,training_time,wall_clock_time
200,200,7.84375000,7.84375000,4e-05,19980956,24.874506,30.962011
400,400,7.06250000,7.06250000,8e-05,39979236,49.324577,57.609390
600,600,6.25000000,6.25000000,0.00012,59970332,73.790961,84.270254
800,800,5.81250000,5.81250000,0.00016,79911940,98.251154,110.921411
1000,1000,5.46875000,5.46875000,0.0002,99951716,122.719456,149.123342
1200,1200,5.15625000,5.15625000,0.00024,119975664,147.180283,175.776209
1400,1400,4.93750000,4.93750000,0.00028,139972164,171.639426,202.422196
1600,1600,4.71875000,4.71875000,0.00032,159990940,196.103126,229.073184
1800,1800,4.46875000,4.46875000,0.00036,180003668,220.570830,255.729472
2000,2000,4.34375000,4.32169139,0.0004,200032256,245.045996,293.411943
2200,2200,4.25000000,4.32169139,0.00044,219913492,269.505700,320.057378
2400,2400,4.15625000,4.32169139,0.00048,239873460,293.972844,346.708263
2600,2600,4.09375000,4.32169139,0.00052,259870480,318.443455,373.372145
2800,2800,3.95312500,4.32169139,0.00056,279923036,342.909762,400.025239
3000,3000,3.89062500,3.92344534,0.0006,299894740,367.377804,438.069770
3200,3200,3.81250000,3.92344534,0.00064,319959244,391.840577,464.720886
3400,3400,3.84375000,3.92344534,0.00068,339876016,416.310342,491.376044
3600,3600,3.82812500,3.92344534,0.00072,359911800,440.784915,518.043383
3800,3800,3.78125000,3.92344534,0.00076,379877784,465.257383,544.702248
4000,4000,3.85937500,3.74249405,0.0008,399897756,489.730557,582.569505
4200,4200,3.78125000,3.74249405,0.00084,419881488,514.199146,609.223570
4400,4400,3.78125000,3.74249405,0.00088,439883532,538.664674,635.872629
4600,4600,3.71875000,3.74249405,0.00092,459758988,563.129377,662.524853
4800,4800,3.59375000,3.74249405,0.00096,479823924,587.605374,689.190019
5000,5000,3.67187500,3.63844222,0.001,499780720,612.071540,727.168976
5200,5200,3.64062500,3.63844222,0.00104,519756120,636.534757,753.816688
5400,5400,3.68750000,3.63844222,0.00108,539671756,661.004522,780.479928
5600,5600,3.65625000,3.63844222,0.00112,559679312,685.479600,807.139665
5800,5800,3.70312500,3.63844222,0.00116,579677788,709.951878,833.806073
6000,6000,3.62500000,3.56927860,0.0012,599807828,734.428691,871.642411
6200,6200,3.56250000,3.56927860,0.00124,619794140,758.895418,898.298252
6400,6400,3.68750000,3.56927860,0.00128,639773428,783.370045,924.964685
6600,6600,3.57812500,3.56927860,0.00132,659841992,807.842316,951.628186
6800,6800,3.56250000,3.56927860,0.00136,679862852,832.320505,978.296876
7000,7000,3.60937500,3.52125466,0.0014,699920844,856.803497,1016.131422
7200,7200,3.54687500,3.52125466,0.00144,719968296,881.282912,1042.801115
7400,7400,3.62500000,3.52125466,0.00148,740029356,905.762522,1069.466682
7600,7600,3.42187500,3.52125466,0.00152,759996236,930.240382,1096.131570
7800,7800,3.57812500,3.52125466,0.00156,779941296,954.721290,1122.806455
8000,8000,3.57812500,3.48828137,0.0016,799847448,979.199630,1160.548589
8200,8200,3.48437500,3.48828137,0.00164,819827020,1003.675919,1187.211781
8400,8400,3.53125000,3.48828137,0.00168,839869548,1028.150253,1213.874810
8600,8600,3.64062500,3.48828137,0.00172,859806840,1052.619436,1240.530443
8800,8800,3.48437500,3.48828137,0.00176,879800052,1077.094089,1267.194443
9000,9000,3.48437500,3.45971209,0.0018,899800204,1101.569091,1305.226907
9200,9200,3.51562500,3.45971209,0.00184,919762096,1126.034006,1331.880904
9400,9400,3.57812500,3.45971209,0.00188,939753460,1150.501974,1358.536953
9600,9600,3.46875000,3.45971209,0.00192,959745664,1174.970821,1385.192413
9800,9800,3.42187500,3.45971209,0.00196,979740648,1199.437607,1411.842611
10000,10000,3.45312500,3.43098968,0.002,999660280,1223.904158,1449.452713
10200,10200,3.50000000,3.43098968,0.001999995079,1019746324,1248.369401,1476.101700
10400,10400,3.46875000,3.43098968,0.001999980316,1039664992,1272.837621,1502.757359
10600,10600,3.46875000,3.43098968,0.00199995571,1059550488,1297.302461,1529.409933
10800,10800,3.46875000,3.43098968,0.001999921263,1079559984,1321.770777,1556.064624
11000,11000,3.39062500,3.38511044,0.001999876974,1099493036,1346.238334,1594.021652
11200,11200,3.45312500,3.38511044,0.001999822845,1119583576,1370.699798,1620.669720
11400,11400,3.43750000,3.38511044,0.001999758875,1139610896,1395.163442,1647.316455
11600,11600,3.35937500,3.38511044,0.001999685066,1159608288,1419.627125,1673.964752
11800,11800,3.40625000,3.38511044,0.001999601418,1179655044,1444.093536,1700.617285
12000,12000,3.32812500,3.35068172,0.001999507932,1199675496,1468.557074,1738.365313
12200,12200,3.35937500,3.35068172,0.001999404609,1219753688,1493.019833,1765.014534
12400,12400,3.29687500,3.35068172,0.00199929145,1239700824,1517.486945,1791.671094
12600,12600,3.45312500,3.35068172,0.001999168457,1259765700,1541.957810,1818.328322
12800,12800,3.23437500,3.35068172,0.00199903563,1279777696,1566.427850,1844.984917
13000,13000,3.34375000,3.32456356,0.001998892972,1299773908,1590.895094,1882.966172
13200,13200,3.25000000,3.32456356,0.001998740484,1319782724,1615.362224,1909.618229
13400,13400,3.32812500,3.32456356,0.001998578167,1339752424,1639.831230,1936.272576
13600,13600,3.39062500,3.32456356,0.001998406024,1359776556,1664.305824,1962.930738
13800,13800,3.40625000,3.32456356,0.001998224056,1379870292,1688.787649,1989.600351
14000,14000,3.29687500,3.30162388,0.001998032264,1399873480,1713.261962,2027.372591
14200,14200,3.29687500,3.30162388,0.001997830653,1419846104,1737.732634,2054.034331
14400,14400,3.42187500,3.30162388,0.001997619222,1439899688,1762.209585,2080.708362
14600,14600,3.25000000,3.30162388,0.001997397976,1459998396,1786.688353,2107.378253
14800,14800,3.34375000,3.30162388,0.001997166915,1480028716,1811.159128,2134.032501
15000,15000,3.32812500,3.28550106,0.001996926044,1500064912,1835.629824,2171.804425
15200,15200,3.25000000,3.28550106,0.001996675363,1520040052,1860.096334,2198.453091
15400,15400,3.18750000,3.28550106,0.001996414877,1540020816,1884.565839,2225.109682
15600,15600,3.26562500,3.28550106,0.001996144588,1559997292,1909.034765,2251.761063
15800,15800,3.37500000,3.28550106,0.001995864499,1580083336,1933.504809,2278.416605
16000,16000,3.15625000,3.27052706,0.001995574612,1600097860,1957.977179,2316.247729
16200,16200,3.29687500,3.27052706,0.001995274932,1620139880,1982.447972,2342.908935
16400,16400,3.31250000,3.27052706,0.001994965461,1640162200,2006.924888,2369.576663
16600,16600,3.32812500,3.27052706,0.001994646203,1660316480,2031.403847,2396.244807
16800,16800,3.31250000,3.27052706,0.001994317162,1680306652,2055.880651,2422.908812
17000,17000,3.25000000,3.25777435,0.00199397834,1700242004,2080.353880,2460.890997
17200,17200,3.26562500,3.25777435,0.001993629741,1720166204,2104.818432,2487.549836
17400,17400,3.31250000,3.25777435,0.001993271371,1740246992,2129.288821,2514.206509
17600,17600,3.39062500,3.25777435,0.001992903231,1760143812,2153.757646,2540.855632
17800,17800,3.39062500,3.25777435,0.001992525327,1780139128,2178.230319,2567.512542
18000,18000,3.42187500,3.24574918,0.001992137662,1800136548,2202.701341,2605.321727
18200,18200,3.29687500,3.24574918,0.001991740241,1820023348,2227.169918,2631.975162
18400,18400,3.31250000,3.24574918,0.001991333069,1840133108,2251.646176,2658.637805
18600,18600,3.26562500,3.24574918,0.001990916148,1860150560,2276.121060,2685.300481
18800,18800,3.20312500,3.24574918,0.001990489485,1880118424,2300.596322,2711.960088
19000,19000,3.29687500,3.23617506,0.001990053084,1900107952,2325.075126,2749.733181
19200,19200,3.23437500,3.23617506,0.001989606949,1920115372,2349.543305,2776.387615
19400,19400,3.28125000,3.23617506,0.001989151085,1940139892,2374.013159,2803.043192
19600,19600,3.17187500,3.23617506,0.001988685498,1960108064,2398.479478,2829.703822
19800,19800,3.26562500,3.23617506,0.001988210192,1980167432,2422.947475,2856.356372
20000,20000,3.26562500,3.22786474,0.001987725173,2000195624,2447.418201,2894.399062
20200,20200,3.31250000,3.22786474,0.001987230446,2020188000,2471.897192,2921.055777
20400,20400,3.20312500,3.22786474,0.001986726016,2040135536,2496.371970,2947.715517
20600,20600,3.18750000,3.22786474,0.00198621189,2060088080,2520.850561,2974.385982
20800,20800,3.31250000,3.22786474,0.001985688071,2080136964,2545.334954,3001.062847
21000,21000,3.18750000,3.21802247,0.001985154567,2100145912,2569.819281,3038.873498
21200,21200,3.25000000,3.21802247,0.001984611384,2120125004,2594.291644,3065.534147
21400,21400,3.26562500,3.21802247,0.001984058526,2140101836,2618.765909,3092.197491
21600,21600,3.25000000,3.21802247,0.001983496,2160063392,2643.240409,3118.856201
21800,21800,3.17187500,3.21802247,0.001982923812,2180087360,2667.713493,3145.512208
22000,22000,3.20312500,3.21020997,0.001982341969,2200159892,2692.192438,3183.488539
22200,22200,3.21875000,3.21020997,0.001981750477,2220165388,2716.661554,3210.146019
22400,22400,3.23437500,3.21020997,0.001981149342,2240212052,2741.135498,3236.804672
22600,22600,3.10937500,3.21020997,0.001980538571,2260306928,2765.609082,3263.463799
22800,22800,3.26562500,3.21020997,0.001979918171,2280271152,2790.085700,3290.127498
23000,23000,3.23437500,3.20511657,0.001979288148,2300241984,2814.563299,3327.978861
23200,23200,3.18750000,3.20511657,0.001978648509,2320278448,2839.035474,3354.641257
23400,23400,3.18750000,3.20511657,0.001977999261,2340266896,2863.511768,3381.305099
23600,23600,3.18750000,3.20511657,0.001977340412,2360207936,2887.982855,3407.961447
23800,23800,3.12500000,3.20511657,0.001976671968,2380170808,2912.456809,3434.620329
24000,24000,3.18750000,3.19791675,0.001975993938,2400233248,2936.932322,3472.564888
24200,24200,3.28125000,3.19791675,0.001975306327,2420235552,2961.399902,3499.225173
24400,24400,3.12500000,3.19791675,0.001974609144,2440256500,2985.867321,3525.877453
24600,24600,3.20312500,3.19791675,0.001973902397,2460347244,3010.349330,3552.547907
24800,24800,3.25000000,3.19791675,0.001973186093,2480303976,3034.828443,3579.214382
25000,25000,3.23437500,3.19293815,0.001972460239,2500303516,3059.305564,3617.000322
25200,25200,3.25000000,3.19293815,0.001971724845,2520255064,3083.780725,3643.663312
25400,25400,3.31250000,3.19293815,0.001970979918,2540287732,3108.259231,3670.425668
25600,25600,3.15625000,3.19293815,0.001970225465,2560240768,3132.730923,3697.080676
25800,25800,3.29687500,3.19293815,0.001969461496,2580177376,3157.206653,3723.752670
26000,26000,3.29687500,3.18612146,0.001968688019,2600212656,3181.684767,3761.683826
26200,26200,3.29687500,3.18612146,0.001967905042,2620137904,3206.144761,3788.330256
26400,26400,3.28125000,3.18612146,0.001967112574,2640154756,3230.605730,3814.972277
26600,26600,3.15625000,3.18612146,0.001966310623,2660144564,3255.071451,3841.624983
26800,26800,3.29687500,3.18612146,0.001965499198,2680158788,3279.542062,3868.279622
27000,27000,3.21875000,3.18160242,0.001964678309,2700158136,3304.012877,3906.048704
