update_step,global_step,train_loss, val_loss,lr,tokens_seen,training_time,wall_clock_time
200,200,7.06250000,7.06250000,0.0002,19980956,35.723257,40.280741
400,400,5.43750000,5.43750000,0.0004,39979236,65.524539,70.695945
600,600,4.75000000,4.75000000,0.0006,59970332,95.348739,101.129262
800,800,4.37500000,4.37500000,0.0008,79911940,125.161364,131.541948
1000,1000,4.15625000,4.15625000,0.001,99951716,154.961098,173.536298
1200,1200,3.96875000,3.96875000,0.0012,119975664,184.761016,203.949644
1400,1400,3.89062500,3.89062500,0.0014,139972164,214.562604,234.352735
1600,1600,3.84375000,3.84375000,0.0016,159990940,244.370534,264.755151
1800,1800,3.78125000,3.78125000,0.0018,180003668,274.168815,295.154148
2000,2000,3.73437500,3.74544287,0.002,200032256,303.967577,336.690873
2200,2200,3.68750000,3.74544287,0.001999451744,219913492,333.781323,367.102510
2400,2400,3.70312500,3.74544287,0.001997807645,239873460,363.596910,397.527808
2600,2600,3.65625000,3.74544287,0.001995069706,259870480,393.409813,427.938630
2800,2800,3.57812500,3.74544287,0.001991241262,279923036,423.224570,458.355308
3000,3000,3.50000000,3.56583190,0.001986326978,299894740,453.030211,500.139643
3200,3200,3.48437500,3.56583190,0.001980332841,319959244,482.838194,530.548535
3400,3400,3.53125000,3.56583190,0.001973266154,339876016,512.643846,560.956506
3600,3600,3.51562500,3.56583190,0.001965135526,359911800,542.460454,591.364517
3800,3800,3.48437500,3.56583190,0.001955950865,379877784,572.279440,621.773263
4000,4000,3.57812500,3.46572465,0.001945723359,399897756,602.101188,663.176971
4200,4200,3.50000000,3.46572465,0.001934465469,419881488,631.911548,693.600824
4400,4400,3.51562500,3.46572465,0.001922190912,439883532,661.716545,724.000603
4600,4600,3.48437500,3.46572465,0.001908914642,459758988,691.522246,754.404299
4800,4800,3.32812500,3.46572465,0.001894652834,479823924,721.325602,784.798752
5000,5000,3.42187500,3.40230554,0.001879422863,499780720,751.148394,826.161823
5200,5200,3.42187500,3.40230554,0.001863243287,519756120,780.946937,856.571313
5400,5400,3.48437500,3.40230554,0.001846133815,539671756,810.734472,886.971810
5600,5600,3.43750000,3.40230554,0.001828115295,559679312,840.530304,917.396719
5800,5800,3.50000000,3.40230554,0.001809209678,579677788,870.333028,947.819343
6000,6000,3.42187500,3.35451144,0.001789439999,599807828,900.124879,989.131380
6200,6200,3.35937500,3.35451144,0.001768830343,619794140,929.956044,1019.584409
6400,6400,3.48437500,3.35451144,0.00174740582,639773428,959.818358,1050.045402
6600,6600,3.35937500,3.35451144,0.001725192533,659841992,989.643459,1080.473840
6800,6800,3.34375000,3.35451144,0.001702217546,679862852,1019.473931,1110.901485
7000,7000,3.39062500,3.31456810,0.001678508849,699920844,1049.325732,1152.458651
7200,7200,3.34375000,3.31456810,0.001654095328,719968296,1079.139911,1182.870347
7400,7400,3.42187500,3.31456810,0.001629006727,740029356,1108.936459,1213.272420
7600,7600,3.20312500,3.31456810,0.001603273613,759996236,1138.729949,1243.668557
7800,7800,3.37500000,3.31456810,0.001576927338,779941296,1168.548405,1274.096245
8000,8000,3.35937500,3.28113532,0.00155,799847448,1198.344713,1315.619408
8200,8200,3.28125000,3.28113532,0.001522524407,819827020,1228.146569,1346.035714
8400,8400,3.31250000,3.28113532,0.001494534032,839869548,1257.951607,1376.438235
8600,8600,3.43750000,3.28113532,0.001466062979,859806840,1287.760229,1406.844444
8800,8800,3.26562500,3.28113532,0.001437145934,879800052,1317.567329,1437.257442
9000,9000,3.26562500,3.24938738,0.001407818129,899800204,1347.379186,1478.590295
9200,9200,3.29687500,3.24938738,0.001378115295,919762096,1377.172518,1509.014580
9400,9400,3.39062500,3.24938738,0.00134807362,939753460,1406.971779,1539.416112
9600,9600,3.25000000,3.24938738,0.001317729706,959745664,1436.788177,1569.833226
9800,9800,3.21875000,3.24938738,0.001287120522,979740648,1466.591669,1600.224987
10000,10000,3.26562500,3.21932465,0.00125628336,999660280,1496.398222,1642.060671
10200,10200,3.29687500,3.21932465,0.001225255791,1019746324,1526.194451,1672.473430
