update_step,global_step,train_loss, val_loss,lr,tokens_seen,training_time,wall_clock_time
200,200,7.75000000,7.75000000,0.0008,19980956,28.428596,32.932456
400,400,5.59375000,5.59375000,0.0016,39979236,56.555887,61.341658
600,600,4.84375000,4.84375000,0.0024,59970332,84.693565,89.752320
800,800,4.50000000,4.50000000,0.0032,79911940,112.811957,118.146197
1000,1000,4.25000000,4.25000000,0.004,99951716,140.922268,158.021279
1200,1200,4.06250000,4.06250000,0.0048,119975664,169.037188,186.412409
1400,1400,3.95312500,3.95312500,0.0056,139972164,197.163628,214.813207
1600,1600,3.89062500,3.89062500,0.0064,159990940,225.284779,243.209606
1800,1800,3.81250000,3.81250000,0.0072,180003668,253.411304,271.607615
2000,2000,3.79687500,3.77091008,0.008,200032256,281.529424,310.958129
2200,2200,3.71875000,3.77091008,0.007997806977,219913492,309.657460,339.358251
2400,2400,3.71875000,3.77091008,0.007991230581,239873460,337.798296,367.774869
2600,2600,3.67187500,3.77091008,0.007980278823,259870480,365.932344,396.182374
2800,2800,3.59375000,3.77091008,0.007964965047,279923036,394.066765,424.591915
3000,3000,3.53125000,3.58249092,0.007945307911,299894740,422.198942,464.330966
3200,3200,3.50000000,3.58249092,0.007921331363,319959244,450.323135,492.729875
3400,3400,3.54687500,3.58249092,0.007893064615,339876016,478.439661,521.122339
3600,3600,3.53125000,3.58249092,0.007860542105,359911800,506.573449,549.527817
3800,3800,3.50000000,3.58249092,0.007823803459,379877784,534.700865,577.927996
4000,4000,3.59375000,3.47648603,0.007782893435,399897756,562.841903,617.928144
4200,4200,3.51562500,3.47648603,0.007737861876,419881488,590.990162,646.351379
4400,4400,3.51562500,3.47648603,0.007688763648,439883532,619.122992,674.763012
4600,4600,3.50000000,3.47648603,0.007635658567,459758988,647.254005,703.169463
4800,4800,3.34375000,3.47648603,0.007578611334,479823924,675.390064,731.581213
5000,5000,3.45312500,3.41532642,0.007517691454,499780720,703.520548,771.150990
5200,5200,3.43750000,3.41532642,0.007452973146,519756120,731.656258,799.565579
5400,5400,3.50000000,3.41532642,0.007384535261,539671756,759.789184,827.974106
5600,5600,3.45312500,3.41532642,0.00731246118,559679312,787.933456,856.393986
5800,5800,3.51562500,3.41532642,0.007236838713,579677788,816.067331,884.803257
6000,6000,3.43750000,3.36757064,0.007157759995,599807828,844.198144,924.199012
6200,6200,3.37500000,3.36757064,0.007075321372,619794140,872.332287,952.607865
6400,6400,3.51562500,3.36757064,0.006989623281,639773428,900.492605,981.040473
6600,6600,3.37500000,3.36757064,0.006900770134,659841992,928.646195,1009.471645
6800,6800,3.35937500,3.36757064,0.006808870183,679862852,956.776570,1037.875040
7000,7000,3.40625000,3.33099735,0.006714035395,699920844,984.917131,1077.540514
7200,7200,3.35937500,3.33099735,0.006616381311,719968296,1013.049138,1105.948339
7400,7400,3.43750000,3.33099735,0.006516026908,740029356,1041.195059,1134.368168
7600,7600,3.21875000,3.33099735,0.006413094452,759996236,1069.339324,1162.792059
7800,7800,3.37500000,3.33099735,0.006307709351,779941296,1097.470183,1191.202236
8000,8000,3.37500000,3.29924953,0.0062,799847448,1125.609304,1231.205408
8200,8200,3.29687500,3.29924953,0.006090097626,819827020,1153.735083,1259.603630
8400,8400,3.31250000,3.29924953,0.005978136128,839869548,1181.881434,1288.022986
8600,8600,3.45312500,3.29924953,0.005864251915,859806840,1210.017879,1316.435174
8800,8800,3.28125000,3.29924953,0.005748583736,879800052,1238.159898,1344.850036
9000,9000,3.28125000,3.26524210,0.005631272516,899800204,1266.291080,1384.446780
9200,9200,3.32812500,3.26524210,0.00551246118,919762096,1294.416410,1412.850970
9400,9400,3.39062500,3.26524210,0.005392294481,939753460,1322.561658,1441.279757
9600,9600,3.26562500,3.26524210,0.005270918824,959745664,1350.690709,1469.681993
9800,9800,3.23437500,3.26524210,0.005148482087,979740648,1378.817686,1498.084224
10000,10000,3.28125000,3.23808992,0.00502513344,999660280,1406.949255,1537.566182
10200,10200,3.32812500,3.23808992,0.004901023163,1019746324,1435.089364,1565.984263
10400,10400,3.28125000,3.23808992,0.004776302468,1039664992,1463.234492,1594.409877
10600,10600,3.28125000,3.23808992,0.004651123305,1059550488,1491.370217,1622.820931
10800,10800,3.29687500,3.23808992,0.004525638188,1079559984,1519.511427,1651.239110
11000,11000,3.21875000,3.21323538,0.0044,1099493036,1547.657557,1690.862367
11200,11200,3.28125000,3.21323538,0.004274361812,1119583576,1575.805230,1719.290218
11400,11400,3.28125000,3.21323538,0.004148876695,1139610896,1603.942584,1747.699540
11600,11600,3.20312500,3.21323538,0.004023697532,1159608288,1632.083394,1776.115553
11800,11800,3.25000000,3.21323538,0.003898976837,1179655044,1660.214804,1804.519275
12000,12000,3.14062500,3.18723202,0.00377486656,1199675496,1688.347113,1844.371500
12200,12200,3.18750000,3.18723202,0.003651517913,1219753688,1716.478393,1872.776876
12400,12400,3.14062500,3.18723202,0.003529081176,1239700824,1744.625202,1901.197029
12600,12600,3.28125000,3.18723202,0.003407705519,1259765700,1772.772392,1929.616780
12800,12800,3.06250000,3.18723202,0.00328753882,1279777696,1800.911341,1958.031659
13000,13000,3.18750000,3.16727948,0.003168727484,1299773908,1829.052018,1997.746717
13200,13200,3.07812500,3.16727948,0.003051416264,1319782724,1857.182381,2026.153759
13400,13400,3.15625000,3.16727948,0.002935748085,1339752424,1885.321008,2054.567030
13600,13600,3.25000000,3.16727948,0.002821863872,1359776556,1913.464936,2082.991464
13800,13800,3.23437500,3.16727948,0.002709902374,1379870292,1941.594249,2111.392663
14000,14000,3.14062500,3.15226728,0.0026,1399873480,1969.721963,2150.978425
14200,14200,3.14062500,3.15226728,0.002492290649,1419846104,1997.873404,2179.403512
14400,14400,3.26562500,3.15226728,0.002386905548,1439899688,2026.015400,2207.824638
14600,14600,3.10937500,3.15226728,0.002283973092,1459998396,2054.166260,2236.249550
14800,14800,3.20312500,3.15226728,0.002183618689,1480028716,2082.341621,2264.702826
15000,15000,3.18750000,3.14173573,0.002085964605,1500064912,2110.499077,2304.330038
15200,15200,3.10937500,3.14173573,0.001991129817,1520040052,2138.632366,2332.739845
15400,15400,3.03125000,3.14173573,0.001899229866,1540020816,2166.774639,2361.162793
15600,15600,3.14062500,3.14173573,0.001810376719,1559997292,2194.926588,2389.589819
15800,15800,3.23437500,3.14173573,0.001724678628,1580083336,2223.084193,2418.026675
16000,16000,3.00000000,3.13250625,0.001642240005,1600097860,2251.223663,2457.621145
16200,16200,3.15625000,3.13250625,0.001563161287,1620139880,2279.360869,2486.033665
16400,16400,3.18750000,3.13250625,0.00148753882,1640162200,2307.512431,2514.460556
16600,16600,3.20312500,3.13250625,0.001415464739,1660316480,2335.658524,2542.884302
16800,16800,3.18750000,3.13250625,0.001347026854,1680306652,2363.803043,2571.306681
17000,17000,3.10937500,3.12764257,0.001282308546,1700242004,2391.944283,2610.953022
17200,17200,3.12500000,3.12764257,0.001221388666,1720166204,2420.077174,2639.366835
17400,17400,3.20312500,3.12764257,0.001164341433,1740246992,2448.225893,2667.793114
17600,17600,3.26562500,3.12764257,0.001111236352,1760143812,2476.365600,2696.209183
17800,17800,3.29687500,3.12764257,0.001062138124,1780139128,2504.505171,2724.628019
18000,18000,3.29687500,3.12496179,0.001017106565,1800136548,2532.652678,2764.122827
18200,18200,3.18750000,3.12496179,0.0009761965413,1820023348,2560.794147,2792.540815
18400,18400,3.18750000,3.12496179,0.0009394578946,1840133108,2588.925785,2820.947990
18600,18600,3.15625000,3.12496179,0.0009069353854,1860150560,2617.059908,2849.361333
18800,18800,3.09375000,3.12496179,0.0008786686374,1880118424,2645.192025,2877.768971
19000,19000,3.15625000,3.12289375,0.0008546920892,1900107952,2673.331459,2917.171101
19200,19200,3.12500000,3.12289375,0.0008350349525,1920115372,2701.474466,2945.589492
19400,19400,3.17187500,3.12289375,0.0008197211767,1940139892,2729.630258,2974.018100
19600,19600,3.04687500,3.12289375,0.0008087694191,1960108064,2757.775345,3002.435818
19800,19800,3.17187500,3.12289375,0.0008021930227,1980167432,2785.915861,3030.850434
20000,20000,3.14062500,3.12201291,8e-10,2000195624,2814.072344,3070.343394
200,200,9.62500000,9.62500000,8e-05,19980956,30.105874,34.542922
400,400,8.75000000,8.75000000,0.00016,39979236,58.232495,63.038557
600,600,7.90625000,7.90625000,0.00024,59970332,86.371038,91.525565
800,800,7.34375000,7.34375000,0.00032,79911940,114.515113,120.024400
200,200,9.62500000,9.62500000,8e-05,19980956,28.453707,32.590034
400,400,8.75000000,8.75000000,0.00016,39979236,56.564998,60.995742
600,600,7.90625000,7.90625000,0.00024,59970332,84.683982,89.393434
800,800,7.34375000,7.34375000,0.00032,79911940,112.798408,117.786843
1000,1000,6.65625000,6.65625000,0.0004,99951716,140.921992,158.228114
1200,1200,5.96875000,5.96875000,0.00048,119975664,169.037624,186.622701
1400,1400,5.68750000,5.68750000,0.00056,139972164,197.147883,215.020166
1600,1600,5.34375000,5.34375000,0.00064,159990940,225.261965,243.417804
1200,1200,5.37500000,5.37500000,0.00096,119984856,28.636697,32.654817
1400,1400,4.90625000,4.90625000,0.00112,140008068,56.897188,61.211030
1600,1600,4.53125000,4.53125000,0.00128,159994644,85.133956,89.735257
1800,1800,4.25000000,4.25000000,0.00144,179903528,113.379704,118.265198
2000,2000,4.21875000,4.13373172,0.0016,199941688,141.629674,158.076430
2200,2200,4.06250000,4.13373172,0.00176,219932856,169.869185,186.616909
2400,2400,3.98437500,4.13373172,0.00192,239932424,198.119297,215.154912
2600,2600,3.92187500,4.13373172,0.00208,259894364,226.364163,243.686236
2800,2800,3.89062500,4.13373172,0.00224,279924380,254.616647,272.218674
3000,3000,3.82812500,3.77431846,0.0024,299844288,282.861580,312.154381
1200,1200,6.00000000,6.00000000,0.00048,119984856,28.458289,33.268033
1400,1400,5.62500000,5.62500000,0.00056,140008068,56.578661,61.675691
1600,1600,5.25000000,5.25000000,0.00064,159994644,84.692745,90.066425
1800,1800,4.93750000,4.93750000,0.00072,179903528,112.805374,118.459674
2000,2000,4.81250000,4.76976120,0.0008,199941688,140.916597,158.308923
1200,1200,6.00000000,6.00000000,0.00048,119984856,28.568542,33.199106
1400,1400,5.62500000,5.62500000,0.00056,140008068,56.690254,61.620813
1600,1600,5.25000000,5.25000000,0.00064,159994644,84.807085,90.020153
1800,1800,4.93750000,4.93750000,0.00072,179903528,112.906039,118.403902
2000,2000,4.81250000,4.76976120,0.0008,199941688,141.017844,157.926496
2200,2200,4.65625000,4.76976120,0.00088,219932856,169.120771,186.321742
2400,2400,4.46875000,4.76976120,0.00096,239932424,197.208784,214.694485
2600,2600,4.37500000,4.76976120,0.00104,259894364,225.305009,243.072676
2800,2800,4.25000000,4.76976120,0.00112,279924380,253.415998,271.465070
3000,3000,4.15625000,4.10684752,0.0012,299844288,281.514608,311.161532
3200,3200,4.00000000,4.10684752,0.00128,319755216,309.605554,339.539008
200,200,9.18750000,9.18750000,0.00016,19980956,28.470130,32.519151
400,400,7.93750000,7.93750000,0.00032,39979236,56.583375,60.934245
600,600,6.81250000,6.81250000,0.00048,59970332,84.760934,89.390311
800,800,5.93750000,5.93750000,0.00064,79911940,112.880186,117.791071
1000,1000,5.34375000,5.34375000,0.0008,99951716,140.997195,146.535089
1200,1200,4.87500000,4.87500000,0.00096,119975664,169.112953,174.931283
1200,1200,4.90625000,4.90625000,0.00096,119984856,28.570139,33.206915
1400,1400,4.62500000,4.62500000,0.00112,140008068,56.728681,61.671224
1200,1200,4.90625000,4.90625000,0.00096,119984856,28.650238,33.381506
1400,1400,4.62500000,4.62500000,0.00112,140008068,56.948893,61.969496
