update_step,global_step,train_loss, val_loss,lr,tokens_seen,training_time,wall_clock_time
200,200,9.06250000,9.06250000,0.00024,19980956,28.361844,32.322310
400,400,7.34375000,7.34375000,0.00048,39979236,56.426651,60.670785
600,600,6.00000000,6.00000000,0.00072,59970332,84.498697,89.028685
800,800,5.28125000,5.28125000,0.00096,79911940,112.560486,117.369764
1000,1000,4.81250000,4.81250000,0.0012,99951716,140.621416,145.711186
1200,1200,4.46875000,4.46875000,0.00144,119975664,168.677647,174.055444
1400,1400,4.28125000,4.28125000,0.00168,139972164,196.726003,202.383109
1600,1600,4.12500000,4.12500000,0.00192,159990940,224.783369,230.723171
1800,1800,3.96875000,3.96875000,0.00216,180003668,252.837409,259.057854
2000,2000,3.89062500,3.89062500,0.0024,200032256,280.906666,298.274967
2200,2200,3.84375000,3.84375000,0.00264,219913492,308.983707,326.644543
2400,2400,3.81250000,3.81250000,0.00288,239873460,337.054388,354.997157
2600,2600,3.78125000,3.78125000,0.00312,259870480,365.126663,383.349271
2800,2800,3.70312500,3.70312500,0.00336,279923036,393.198034,411.700909
3000,3000,3.64062500,3.64062500,0.0036,299894740,421.265394,440.049692
3200,3200,3.60937500,3.60937500,0.00384,319959244,449.328989,468.397773
3400,3400,3.65625000,3.65625000,0.00408,339876016,477.393817,496.743906
3600,3600,3.64062500,3.64062500,0.00432,359911800,505.456353,525.088223
3800,3800,3.60937500,3.60937500,0.00456,379877784,533.525048,553.441696
4000,4000,3.70312500,3.58586103,0.0048,399897756,561.593981,592.590252
4200,4200,3.64062500,3.58586103,0.00504,419881488,589.704817,620.987963
4400,4400,3.62500000,3.58586103,0.00528,439883532,617.893985,649.461973
4600,4600,3.60937500,3.58586103,0.00552,459758988,646.085748,677.934877
4800,4800,3.46875000,3.58586103,0.00576,479823924,674.268764,706.398679
5000,5000,3.56250000,3.58586103,0.006,499780720,702.455094,734.865694
5200,5200,3.54687500,3.58586103,0.00624,519756120,730.643397,763.335758
5400,5400,3.60937500,3.58586103,0.00648,539671756,758.827353,791.799362
5600,5600,3.57812500,3.58586103,0.00672,559679312,786.983268,820.234429
5800,5800,3.65625000,3.58586103,0.00696,579677788,815.136286,848.665809
6000,6000,3.54687500,3.50099587,0.0072,599807828,843.283211,887.707586
6200,6200,3.48437500,3.50099587,0.00744,619794140,871.435674,916.135698
6400,6400,3.64062500,3.50099587,0.00768,639773428,899.585412,944.562454
6600,6600,3.53125000,3.50099587,0.00792,659841992,927.742581,972.997603
6800,6800,3.50000000,3.50099587,0.00816,679862852,955.900513,1001.434698
7000,7000,3.54687500,3.50099587,0.0084,699920844,984.052450,1029.866275
7200,7200,3.50000000,3.50099587,0.00864,719968296,1012.204203,1058.297731
7400,7400,3.57812500,3.50099587,0.00888,740029356,1040.364998,1086.737832
7600,7600,3.37500000,3.50099587,0.00912,759996236,1068.536681,1115.188299
7800,7800,3.51562500,3.50099587,0.00936,779941296,1096.696750,1143.628132
8000,8000,3.51562500,3.45082730,0.0096,799847448,1124.851000,1182.672297
8200,8200,3.45312500,3.45082730,0.00984,819827020,1153.006195,1211.104823
8400,8400,3.48437500,3.45082730,0.01008,839869548,1181.158975,1239.535674
8600,8600,3.60937500,3.45082730,0.01032,859806840,1209.306417,1267.961801
8800,8800,3.43750000,3.45082730,0.01056,879800052,1237.466762,1296.399139
9000,9000,3.45312500,3.45082730,0.0108,899800204,1265.624269,1324.834918
9200,9200,3.50000000,3.45082730,0.01104,919762096,1293.792330,1353.278076
9400,9400,3.56250000,3.45082730,0.01128,939753460,1321.955947,1381.724054
9600,9600,3.45312500,3.45082730,0.01152,959745664,1350.118920,1410.165265
9800,9800,3.40625000,3.45082730,0.01176,979740648,1378.283038,1438.607398
10000,10000,3.45312500,3.42930460,0.012,999660280,1406.447734,1477.808017
10200,10200,3.51562500,3.42930460,0.01199997047,1019746324,1434.615436,1506.255028
10400,10400,3.48437500,3.42930460,0.01199988189,1039664992,1462.791526,1534.708589
10600,10600,3.48437500,3.42930460,0.01199973426,1059550488,1490.954577,1563.152865
10800,10800,3.48437500,3.42930460,0.01199952758,1079559984,1519.119502,1591.597420
11000,11000,3.40625000,3.42930460,0.01199926185,1099493036,1547.290034,1620.044508
11200,11200,3.48437500,3.42930460,0.01199893707,1119583576,1575.462571,1648.492574
11400,11400,3.46875000,3.42930460,0.01199855325,1139610896,1603.636290,1676.942210
11600,11600,3.39062500,3.42930460,0.0119981104,1159608288,1631.808083,1705.390780
11800,11800,3.43750000,3.42930460,0.01199760851,1179655044,1659.972661,1733.832677
12000,12000,3.34375000,3.37748939,0.01199704759,1199675496,1688.136579,1773.077486
12200,12200,3.39062500,3.37748939,0.01199642765,1219753688,1716.290901,1801.506225
12400,12400,3.32812500,3.37748939,0.0119957487,1239700824,1744.445728,1829.936867
12600,12600,3.48437500,3.37748939,0.01199501074,1259765700,1772.616553,1858.381417
12800,12800,3.29687500,3.37748939,0.01199421378,1279777696,1800.770372,1886.812799
13000,13000,3.37500000,3.37748939,0.01199335783,1299773908,1828.931693,1915.252779
13200,13200,3.26562500,3.37748939,0.0119924429,1319782724,1857.099079,1943.698053
13400,13400,3.35937500,3.37748939,0.011991469,1339752424,1885.261064,1972.136115
13600,13600,3.42187500,3.37748939,0.01199043614,1359776556,1913.431920,2000.584978
13800,13800,3.43750000,3.37748939,0.01198934433,1379870292,1941.594131,2029.024797
14000,14000,3.32812500,3.34348208,0.01198819359,1399873480,1969.748962,2068.152190
14200,14200,3.34375000,3.34348208,0.01198698392,1419846104,1997.917809,2096.599293
14400,14400,3.46875000,3.34348208,0.01198571533,1439899688,2026.098578,2125.055121
14600,14600,3.29687500,3.34348208,0.01198438785,1459998396,2054.267533,2153.502478
14800,14800,3.39062500,3.34348208,0.01198300149,1480028716,2082.457829,2181.971678
15000,15000,3.37500000,3.34348208,0.01198155626,1500064912,2110.623522,2210.414220
15200,15200,3.29687500,3.34348208,0.01198005218,1520040052,2138.797749,2238.865307
15400,15400,3.23437500,3.34348208,0.01197848926,1540020816,2166.974450,2267.316848
15600,15600,3.32812500,3.34348208,0.01197686753,1559997292,2195.145906,2295.771722
15800,15800,3.42187500,3.34348208,0.01197518699,1580083336,2223.311062,2324.212737
16000,16000,3.21875000,3.31912547,0.01197344767,1600097860,2251.469618,2363.034467
16200,16200,3.34375000,3.31912547,0.01197164959,1620139880,2279.631779,2391.471040
16400,16400,3.35937500,3.31912547,0.01196979277,1640162200,2307.789621,2419.909805
16600,16600,3.35937500,3.31912547,0.01196787722,1660316480,2335.964976,2448.360792
16800,16800,3.35937500,3.31912547,0.01196590297,1680306652,2364.140495,2476.815169
17000,17000,3.29687500,3.31912547,0.01196387004,1700242004,2392.314548,2505.264803
17200,17200,3.29687500,3.31912547,0.01196177845,1720166204,2420.488536,2533.718361
17400,17400,3.35937500,3.31912547,0.01195962822,1740246992,2448.654226,2562.163487
17600,17600,3.43750000,3.31912547,0.01195741939,1760143812,2476.823477,2590.608643
17800,17800,3.43750000,3.31912547,0.01195515196,1780139128,2504.984917,2619.048871
18000,18000,3.46875000,3.29515177,0.01195282597,1800136548,2533.142161,2658.122174
18200,18200,3.34375000,3.29515177,0.01195044145,1820023348,2561.298175,2686.557285
18400,18400,3.37500000,3.29515177,0.01194799841,1840133108,2589.467075,2715.003951
18600,18600,3.32812500,3.29515177,0.01194549689,1860150560,2617.638017,2743.450934
18800,18800,3.25000000,3.29515177,0.01194293691,1880118424,2645.801658,2771.891483
19000,19000,3.35937500,3.29515177,0.0119403185,1900107952,2673.974753,2800.342538
19200,19200,3.29687500,3.29515177,0.01193764169,1920115372,2702.138293,2828.781085
19400,19400,3.32812500,3.29515177,0.01193490651,1940139892,2730.300254,2857.219125
19600,19600,3.25000000,3.29515177,0.01193211299,1960108064,2758.463994,2885.661051
19800,19800,3.32812500,3.29515177,0.01192926115,1980167432,2786.619727,2914.092875
20000,20000,3.31250000,3.28006291,0.01192635104,2000195624,2814.782165,2953.074998
20200,20200,3.35937500,3.28006291,0.01192338268,2020188000,2842.945722,2981.513957
20400,20400,3.25000000,3.28006291,0.0119203561,2040135536,2871.113156,3009.956002
20600,20600,3.23437500,3.28006291,0.01191727134,2060088080,2899.283684,3038.406542
20800,20800,3.37500000,3.28006291,0.01191412843,2080136964,2927.446541,3066.847553
21000,21000,3.26562500,3.28006291,0.0119109274,2100145912,2955.622060,3095.304484
21200,21200,3.31250000,3.28006291,0.0119076683,2120125004,2983.777373,3123.737024
21400,21400,3.31250000,3.28006291,0.01190435115,2140101836,3011.941845,3152.175418
21600,21600,3.31250000,3.28006291,0.011900976,2160063392,3040.110780,3180.619648
21800,21800,3.23437500,3.28006291,0.01189754287,2180087360,3068.283894,3209.069939
22000,22000,3.26562500,3.26711863,0.01189405182,2200159892,3096.456637,3248.282994
22200,22200,3.28125000,3.26711863,0.01189050286,2220165388,3124.620945,3276.726724
22400,22400,3.29687500,3.26711863,0.01188689605,2240212052,3152.803089,3305.187248
22600,22600,3.15625000,3.26711863,0.01188323143,2260306928,3180.978300,3333.638696
22800,22800,3.31250000,3.26711863,0.01187950902,2280271152,3209.154332,3362.089995
23000,23000,3.29687500,3.26711863,0.01187572889,2300241984,3237.328582,3390.538596
23200,23200,3.25000000,3.26711863,0.01187189105,2320278448,3265.493143,3418.982680
23400,23400,3.23437500,3.26711863,0.01186799557,2340266896,3293.674847,3447.440379
23600,23600,3.23437500,3.26711863,0.01186404247,2360207936,3321.862822,3475.903989
23800,23800,3.18750000,3.26711863,0.01186003181,2380170808,3350.045354,3504.366377
24000,24000,3.25000000,3.25647217,0.01185596363,2400233248,3378.230519,3543.415353
24200,24200,3.34375000,3.25647217,0.01185183796,2420235552,3406.389237,3571.851247
24400,24400,3.20312500,3.25647217,0.01184765487,2440256500,3434.565195,3600.301323
24600,24600,3.28125000,3.25647217,0.01184341438,2460347244,3462.731892,3628.743590
24800,24800,3.31250000,3.25647217,0.01183911656,2480303976,3490.907276,3657.195098
25000,25000,3.29687500,3.25647217,0.01183476144,2500303516,3519.087141,3685.647902
25200,25200,3.29687500,3.25647217,0.01183034907,2520255064,3547.257220,3714.093909
25400,25400,3.37500000,3.25647217,0.01182587951,2540287732,3575.418956,3742.530976
25600,25600,3.21875000,3.25647217,0.01182135279,2560240768,3603.580713,3770.968287
25800,25800,3.35937500,3.25647217,0.01181676898,2580177376,3631.743474,3799.405440
26000,26000,3.35937500,3.24502152,0.01181212812,2600212656,3659.915709,3838.456382
26200,26200,3.35937500,3.24502152,0.01180743025,2620137904,3688.081986,3866.898072
26400,26400,3.34375000,3.24502152,0.01180267544,2640154756,3716.249503,3895.347652
26600,26600,3.21875000,3.24502152,0.01179786374,2660144564,3744.424882,3923.798302
26800,26800,3.34375000,3.24502152,0.01179299519,2680158788,3772.597188,3952.246221
27000,27000,3.28125000,3.24502152,0.01178806985,2700158136,3800.766237,3980.696161
27200,27200,3.34375000,3.24502152,0.01178308778,2720173464,3828.941038,4009.146064
27400,27400,3.20312500,3.24502152,0.01177804902,2740114656,3857.121381,4037.607721
27600,27600,3.17187500,3.24502152,0.01177295364,2760071880,3885.290268,4066.053702
27800,27800,3.32812500,3.24502152,0.01176780169,2780118604,3913.465363,4094.503437
28000,28000,3.43750000,3.23808986,0.01176259322,2800027780,3941.628855,4133.618814
28200,28200,3.34375000,3.23808986,0.0117573283,2819986948,3969.802823,4162.075811
28400,28400,3.28125000,3.23808986,0.01175200697,2840024748,3997.967643,4190.519632
28600,28600,3.25000000,3.23808986,0.01174662931,2860029100,4026.150137,4218.978594
28800,28800,3.29687500,3.23808986,0.01174119536,2880051800,4054.333765,4247.438718
29000,29000,3.31250000,3.23808986,0.01173570519,2900005540,4082.512912,4275.891532
29200,29200,3.31250000,3.23808986,0.01173015885,2920004020,4110.684681,4304.338631
29400,29400,3.26562500,3.23808986,0.01172455642,2940068572,4138.864595,4332.794478
29600,29600,3.29687500,3.23808986,0.01171889794,2960088028,4167.033082,4361.243390
29800,29800,3.21875000,3.23808986,0.01171318348,2980131580,4195.208334,4389.692608
30000,30000,3.21875000,3.22729021,0.01170741311,3000262592,4223.381625,4428.905708
30200,30200,3.23437500,3.22729021,0.01170158688,3020307996,4251.545447,4457.342861
30400,30400,3.34375000,3.22729021,0.01169570486,3040337856,4279.699186,4485.773013
30600,30600,3.18750000,3.22729021,0.01168976711,3060458300,4307.866101,4514.214155
30800,30800,3.32812500,3.22729021,0.01168377371,3080401644,4336.020014,4542.647112
31000,31000,3.34375000,3.22729021,0.01167772471,3100426676,4364.185432,4571.090202
