update_step,global_step,train_loss, val_loss,lr,tokens_seen,training_time,wall_clock_time
200,200,6.96875000,6.34481549,0.0012,19980956,28.526832,35.271124
400,400,5.25000000,4.74348974,0.0024,39979236,56.746793,66.076162
600,600,4.56250000,4.11718762,0.0036,59970332,85.051295,96.947295
800,800,4.25000000,3.83718050,0.0048,79911940,113.208358,127.640303
1000,1000,4.12500000,3.70933956,0.006,99951716,141.369277,169.650904
1200,1200,4.00000000,3.62917262,0.0072,119975664,169.528752,200.496944
1400,1400,3.90625000,3.57469237,0.0084,139972164,197.683059,231.160353
1600,1600,3.87500000,3.52840918,0.0096,159990940,225.839411,261.802065
1800,1800,3.79687500,3.49822450,0.0108,180003668,253.991994,292.479889
2000,2000,3.78125000,3.47493494,0.012,200032256,282.153204,334.671500
2200,2200,3.71875000,3.43865418,0.01199671047,219913492,310.321473,365.366430
2400,2400,3.73437500,3.40116018,0.01198684587,239873460,338.487986,396.035240
2600,2600,3.68750000,3.36949581,0.01197041823,259870480,366.648103,426.706489
2800,2800,3.62500000,3.34289187,0.01194744757,279923036,394.808464,457.395194
3000,3000,3.56250000,3.32392293,0.01191796187,299894740,422.971691,499.303466
3200,3200,3.51562500,3.30400693,0.01188199704,319959244,451.136778,530.011999
3400,3400,3.57812500,3.28702068,0.01183959692,339876016,479.299976,560.650686
3600,3600,3.56250000,3.27015281,0.01179081316,359911800,507.459177,591.512881
3800,3800,3.54687500,3.25645131,0.01173570519,379877784,535.619480,622.209973
4000,4000,3.62500000,3.23484856,0.01167434015,399897756,563.786437,664.484646
4200,4200,3.56250000,3.22085112,0.01160679281,419881488,591.949033,695.372668
4400,4400,3.56250000,3.21126312,0.01153314547,439883532,620.119479,726.081603
4600,4600,3.53125000,3.20259243,0.01145348785,459758988,648.281852,756.800334
4800,4800,3.39062500,3.18995625,0.011367917,479823924,676.443563,787.568644
5000,5000,3.48437500,3.18359375,0.01127653718,499780720,704.610728,829.539287
5200,5200,3.48437500,3.17299956,0.01117945972,519756120,732.778888,860.154358
5400,5400,3.53125000,3.16332275,0.01107680289,539671756,760.941728,890.870078
5600,5600,3.50000000,3.15536231,0.01096869177,559679312,789.105315,921.598068
5800,5800,3.57812500,3.14870393,0.01085525807,579677788,817.264614,952.374033
6000,6000,3.46875000,3.14308125,0.01073663999,599807828,845.429930,994.100085
6200,6200,3.42187500,3.13310856,0.01061298206,619794140,873.619169,1024.854780
6400,6400,3.53125000,3.12647969,0.01048443492,639773428,901.826370,1055.774943
