update_step,global_step,train_loss, val_loss,lr,tokens_seen,training_time,wall_clock_time
200,200,8.68750000,8.68750000,0.0002666666667,19980956,70.830569,74.851584
400,400,6.81250000,6.81250000,0.0005333333333,39979236,141.346236,145.687991
600,600,5.62500000,5.62500000,0.0008,59970332,211.872596,216.533063
800,800,5.00000000,5.00000000,0.001066666667,79911940,282.402413,287.382560
1000,1000,4.59375000,4.59375000,0.001333333333,99951716,352.937196,375.744451
1200,1200,4.25000000,4.25000000,0.0016,119975664,423.460551,446.585171
1400,1400,4.09375000,4.09375000,0.001866666667,139972164,494.002961,517.442801
1600,1600,3.95312500,3.95312500,0.002133333333,159990940,564.544609,588.299014
1800,1800,3.82812500,3.82812500,0.0024,180003668,635.066511,659.136812
2000,2000,3.76562500,3.75865513,0.002666666667,200032256,705.595702,747.226823
2200,2200,3.70312500,3.75865513,0.002933333333,219913492,776.110499,818.061306
2400,2400,3.71875000,3.75865513,0.0032,239873460,846.630508,888.897856
2600,2600,3.67187500,3.75865513,0.003466666667,259870480,917.153978,959.735014
2800,2800,3.60937500,3.75865513,0.003733333333,279923036,987.694440,1030.590471
3000,3000,3.53125000,3.58195478,0.004,299894740,1058.234044,1118.666621
3200,3200,3.48437500,3.58195478,0.004266666667,319959244,1128.785962,1189.532466
3400,3400,3.53125000,3.58195478,0.004533333333,339876016,1199.329240,1260.391256
3600,3600,3.53125000,3.58195478,0.0048,359911800,1269.887502,1331.264258
3800,3800,3.50000000,3.58195478,0.005066666667,379877784,1340.434240,1402.126355
4000,4000,3.59375000,3.48062205,0.005333333333,399897756,1410.980834,1489.981957
4200,4200,3.51562500,3.48062205,0.0056,419881488,1481.503833,1560.816326
4400,4400,3.51562500,3.48062205,0.005866666667,439883532,1552.039071,1631.663353
4600,4600,3.51562500,3.48062205,0.006133333333,459758988,1622.636802,1702.571822
4800,4800,3.35937500,3.48062205,0.0064,479823924,1693.198672,1773.445978
5000,5000,3.45312500,3.42409635,0.006666666667,499780720,1763.758185,1861.052192
5200,5200,3.43750000,3.42409635,0.006933333333,519756120,1834.305796,1931.912702
5400,5400,3.50000000,3.42409635,0.0072,539671756,1904.864777,2002.784135
5600,5600,3.46875000,3.42409635,0.007466666667,559679312,1975.434004,2073.665975
5800,5800,3.54687500,3.42409635,0.007733333333,579677788,2045.984268,2144.528105
6000,6000,3.45312500,3.39020383,0.008,599807828,2116.541714,2232.865946
6200,6200,3.37500000,3.39020383,0.007999756309,619794140,2187.145358,2303.779974
6400,6400,3.50000000,3.39020383,0.007999025268,639773428,2257.716539,2374.661453
6600,6600,3.35937500,3.39020383,0.007997806977,659841992,2328.305020,2445.559891
6800,6800,3.35937500,3.39020383,0.007996101601,679862852,2398.904112,2516.468808
7000,7000,3.39062500,3.31832117,0.00799390937,699920844,2469.480174,2604.404427
7200,7200,3.34375000,3.31832117,0.007991230581,719968296,2540.050805,2675.286078
7400,7400,3.40625000,3.31832117,0.007988065597,740029356,2610.632749,2746.177980
7600,7600,3.20312500,3.31832117,0.007984414846,759996236,2681.214765,2817.071531
7800,7800,3.35937500,3.31832117,0.007980278823,779941296,2751.798269,2887.965685
8000,8000,3.34375000,3.26865059,0.007975658088,799847448,2822.399143,2975.994970
8200,8200,3.26562500,3.26865059,0.007970553266,819827020,2892.963410,3046.871350
8400,8400,3.29687500,3.26865059,0.007964965047,839869548,2963.547282,3117.769022
8600,8600,3.42187500,3.26865059,0.00795889419,859806840,3034.129474,3188.663518
8800,8800,3.23437500,3.26865059,0.007952341516,879800052,3104.705530,3259.550728
9000,9000,3.23437500,3.23246026,0.007945307911,899800204,3175.287575,3347.661834
9200,9200,3.28125000,3.23246026,0.007937794328,919762096,3245.843682,3418.529445
9400,9400,3.35937500,3.23246026,0.007929801785,939753460,3316.436266,3489.432706
9600,9600,3.21875000,3.23246026,0.007921331363,959745664,3387.044419,3560.351200
9800,9800,3.18750000,3.23246026,0.007912384209,979740648,3457.640724,3631.258489
10000,10000,3.23437500,3.20124853,0.007902961534,999660280,3528.228393,3719.359205
10200,10200,3.26562500,3.20124853,0.007893064615,1019746324,3598.766726,3790.210044
10400,10400,3.25000000,3.20124853,0.00788269479,1039664992,3669.307619,3861.064000
10600,10600,3.25000000,3.20124853,0.007871853464,1059550488,3739.847502,3931.916073
10800,10800,3.26562500,3.20124853,0.007860542105,1079559984,3810.409918,4002.791891
11000,11000,3.17187500,3.17819405,0.007848762244,1099493036,3880.981682,4090.729747
11200,11200,3.25000000,3.17819405,0.007836515476,1119583576,3951.587134,4161.646139
11400,11400,3.23437500,3.17819405,0.007823803459,1139610896,4022.159557,4232.528907
11600,11600,3.17187500,3.17819405,0.007810627913,1159608288,4092.739748,4303.417627
11800,11800,3.20312500,3.17819405,0.007796990623,1179655044,4163.326198,4374.310191
12000,12000,3.09375000,3.14970142,0.007782893435,1199675496,4233.898278,4462.471350
12200,12200,3.14062500,3.14970142,0.007768338257,1219753688,4304.460129,4533.340913
12400,12400,3.09375000,3.14970142,0.00775332706,1239700824,4375.023189,4604.213208
12600,12600,3.21875000,3.14970142,0.007737861876,1259765700,4445.579819,4675.080380
12800,12800,3.03125000,3.14970142,0.0077219448,1279777696,4516.134672,4745.944364
13000,13000,3.15625000,3.13193178,0.007705577985,1299773908,4586.713538,4833.769004
13200,13200,3.04687500,3.13193178,0.007688763648,1319782724,4657.265887,4904.629761
13400,13400,3.12500000,3.13193178,0.007671504064,1339752424,4727.814593,4975.488349
13600,13600,3.21875000,3.13193178,0.007653801572,1359776556,4798.364126,5046.347765
13800,13800,3.20312500,3.13193178,0.007635658567,1379870292,4868.947632,5117.239565
14000,14000,3.10937500,3.11270690,0.007617077505,1399873480,4939.530575,5205.461993
14200,14200,3.09375000,3.11270690,0.007598060903,1419846104,5010.087866,5276.334838
14400,14400,3.21875000,3.11270690,0.007578611334,1439899688,5080.661632,5347.219276
14600,14600,3.06250000,3.11270690,0.007558731433,1459998396,5151.215160,5418.082473
14800,14800,3.17187500,3.11270690,0.007538423889,1480028716,5221.757251,5488.935643
15000,15000,3.14062500,3.10068178,0.007517691454,1500064912,5292.290738,5576.876446
15200,15200,3.07812500,3.10068178,0.007496536932,1520040052,5362.865266,5647.757611
15400,15400,3.00000000,3.10068178,0.00747496319,1540020816,5433.439655,5718.638420
15600,15600,3.07812500,3.10068178,0.007452973146,1559997292,5504.008641,5789.516009
15800,15800,3.17187500,3.10068178,0.007430569779,1580083336,5574.594903,5860.413241
16000,16000,2.96875000,3.08517170,0.007407756121,1600097860,5645.174044,5948.522840
16200,16200,3.10937500,3.08517170,0.007384535261,1620139880,5715.722559,6019.381585
16400,16400,3.14062500,3.08517170,0.007360910343,1640162200,5786.262905,6090.230750
16600,16600,3.15625000,3.08517170,0.007336884565,1660316480,5856.817140,6161.094180
16800,16800,3.12500000,3.08517170,0.00731246118,1680306652,5927.364073,6231.950055
17000,17000,3.04687500,3.07460183,0.007287643494,1700242004,5997.918900,6319.895911
17200,17200,3.06250000,3.07460183,0.007262434867,1720166204,6068.466833,6390.754166
17400,17400,3.14062500,3.07460183,0.007236838713,1740246992,6139.032575,6461.629490
17600,17600,3.20312500,3.07460183,0.007210858496,1760143812,6209.571922,6532.476640
17800,17800,3.23437500,3.07460183,0.007184497734,1780139128,6280.129923,6603.346237
18000,18000,3.23437500,3.06027889,0.007157759995,1800136548,6350.673664,6691.582863
18200,18200,3.10937500,3.06027889,0.0071306489,1820023348,6421.215222,6762.435901
18400,18400,3.12500000,3.06027889,0.007103168119,1840133108,6491.773898,6833.304520
